Date,Opponent,Opponent Record,Result,Oberlin Shots,Opponent Shots,Oberlin Fouls,Opponent Fouls,Oberlin Goals,Opponent Goals,Passes Completed,Pass percentage,Conference,Home/Away
9/21/2024,Heidelberg University,0.118,Win,15,4,10,22,3,0,542,81,No,Home
9/25/2024,Baldwin Wallace University,0.475,Draw,12,12,17,17,1,1,449,70,No,Away
9/28/2024,Washington and Jefferson College,0.395,Win,15,6,8,9,3,1,594,76,No,Away
10/5/2024,College of Wooster,0.44,Loss,13,13,4,13,2,3,466,80,Yes,Away
10/9/2024,Denison University,0.783,Loss,4,12,7,9,0,1,371,67,Yes,Away
10/13/2024,Ohio Wesleyan University,0.675,Loss,8,16,9,5,1,2,414,79,Yes,Home
10/19/2024,Depauw University,0.619,Loss,6,12,6,24,1,3,483,72,Yes,Away
10/23/2024,Hiram College,0.235,Win,17,5,8,11,4,0,489,79,Yes,Home
10/26/2024,Wittenberg University,0.393,Draw,10,15,15,10,2,2,311,70,Yes,Away
10/30/2024,Kenyon College,0.738,Loss,7,15,4,6,1,2,274,61,Yes,Home
11/2/2024,Wabash College,0.611,Win,13,11,8,15,5,1,368,75,Yes,Home
